id	name	description	synonyms	organism
ENSG00000000003	TSPAN6	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]	[]	NCBI:txid9606
ENSG00000000457	SCYL3	SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]	[]	NCBI:txid9606
ENSG00000000938	FGR	FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]	[]	NCBI:txid9606
ENSG00000000971	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	[]	NCBI:txid9606
ENSG00000001084	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	[]	NCBI:txid9606
ENSG00000001617	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	[]	NCBI:txid9606
ENSG00000001626	CFTR	CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	[]	NCBI:txid9606
ENSG00000001630	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]	[]	NCBI:txid9606
ENSG00000002330	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	[]	NCBI:txid9606
ENSG00000002549	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	[]	NCBI:txid9606
ENSG00000002586	CD99	CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]	[]	NCBI:txid9606
ENSG00000002726	AOC1	amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]	[]	NCBI:txid9606
ENSG00000002834	LASP1	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]	[]	NCBI:txid9606
ENSG00000002919	SNX11	sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]	[]	NCBI:txid9606
ENSG00000003056	M6PR	mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]	[]	NCBI:txid9606
